""2019-08-26 19:57:32 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2019-08-26 19:57:32 [main] INFO  c.u.s.app.UrlShortnerApplication - Started UrlShortnerApplication in 4.066 seconds (JVM running for 4.907)
""2019-08-26 19:57:33 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
""2019-08-26 19:58:58 [main] INFO  c.u.s.app.UrlShortnerApplication - Starting UrlShortnerApplication on IE-00001295 with PID 16560 (C:\HardDisk\Code\Charu-Project\Url-Shortner\url-shortner\target\classes started by eankuba in C:\HardDisk\Code\Charu-Project\Url-Shortner\url-shortner)
""2019-08-26 19:58:58 [main] INFO  c.u.s.app.UrlShortnerApplication - No active profile set, falling back to default profiles: default
""2019-08-26 19:58:58 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
""2019-08-26 19:58:58 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35ms. Found 1 repository interfaces.
""2019-08-26 19:58:59 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b8dec193] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2019-08-26 19:58:59 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2019-08-26 19:58:59 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2019-08-26 19:58:59 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.22]
""2019-08-26 19:58:59 [main] INFO  org.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
""2019-08-26 19:58:59 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2019-08-26 19:58:59 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2019-08-26 19:58:59 [main] WARN  c.z.hikari.util.DriverDataSource - Registered driver with driverClassName=com.mysql.jdbc.Driver was not found, trying direct instantiation.
""2019-08-26 19:59:00 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
